transaction_id,timestamp,intrbk_sttlm_amt,debtor_name,debtor_country,debtor_city,debtor_postcode,creditor_name,creditor_country,creditor_city,creditor_postcode,distance_km,is_international,debtor_blacklisted,creditor_blacklisted,extreme_amount,amount_high,amount_low,postal_incoherence,sector,is_fraud
TXN_000000,2023-11-21 19:06:18.924524,127026,COTEF MAROC,MA,Rabat,10000,Madrid_TRADING_ES,ES,Madrid,87397,7912,1,0,0,0,0,0,0,TEXTILE,0
TXN_000001,2025-08-04 19:06:18.924524,137475,AUCHAN MAROC,MA,Casablanca,20000,BMCI,MA,Kenitra,14000,924,0,0,0,0,0,0,0,DISTRIBUTION,0
TXN_000002,2024-01-11 19:06:18.924524,115785,ACIMA,MA,Tanger,90000,CREDIT DU MAROC,MA,Marrakech,40000,233,0,0,0,0,0,0,0,DISTRIBUTION,0
TXN_000003,2024-08-12 19:06:18.924524,148685,DELTA INDUSTRIE,MA,Rabat,10100,BMCE BANK,MA,Oujda,60000,751,0,0,0,0,0,0,0,TEXTILE,0
TXN_000004,2024-11-09 19:06:18.924524,23233,ACIMA,MA,Tétouan,93100,London_TRADING_DE,DE,London,20458,4814,1,0,0,0,0,0,0,DISTRIBUTION,0
TXN_000005,2025-05-25 19:06:18.924524,50819,ORANGE MAROC,MA,Meknès,50100,BMCE BANK,MA,Agadir,80000,265,0,0,0,0,0,0,0,SERVICES,0
TXN_000006,2023-11-25 19:06:18.924524,126178,AUCHAN MAROC,MA,Marrakech,40200,BANQUE POPULAIRE,MA,Kenitra,14000,668,0,0,0,0,0,0,0,DISTRIBUTION,0
TXN_000007,2025-08-04 19:06:18.924524,120615,TEXMAROC,MA,Agadir,80100,ACIMA,MA,Tétouan,93100,511,0,0,0,0,0,0,0,TEXTILE,0
TXN_000008,2023-11-17 19:06:18.924524,139303,COTEF MAROC,MA,Oujda,60000,ONEE,MA,Kenitra,14100,202,0,0,0,0,0,0,0,TEXTILE,0
TXN_000009,2025-01-24 19:06:18.924524,9175,LYDEC,MA,Marrakech,40200,METRO MAROC,MA,Marrakech,40200,162,0,0,0,0,0,0,0,SERVICES,0
TXN_000010,2025-07-02 19:06:18.924524,272513,INWI,MA,Meknès,50100,AFRICA IMPORT EXPORT,NG,Istanbul,99353,5371,1,0,1,1,1,0,0,SERVICES,1
TXN_000011,2024-11-09 19:06:18.924524,37522,LYDEC,MA,Meknès,50000,CIH BANK,MA,Marrakech,40200,573,0,0,0,0,0,0,0,SERVICES,0
TXN_000012,2024-04-04 19:06:18.924524,47349,CARREFOUR MAROC,MA,Tétouan,93000,MANATEX,MA,Kenitra,14000,114,0,0,0,0,0,0,0,DISTRIBUTION,0
TXN_000013,2025-05-14 19:06:18.924524,68143,MARJANE HOLDING,MA,Agadir,80100,BMCE BANK,MA,Rabat,10000,546,0,0,0,0,0,0,0,DISTRIBUTION,0
TXN_000014,2025-04-30 19:06:18.924524,24643,INWI,MA,Marrakech,40200,CREDIT AGRICOLE MAROC,MA,Tétouan,93100,892,0,0,0,0,0,0,0,SERVICES,0
TXN_000015,2024-10-21 19:06:18.926030,62177,INWI,MA,Meknès,50100,Madrid_TRADING_DE,DE,Madrid,54313,1344,1,0,0,0,0,0,0,SERVICES,0
TXN_000016,2024-01-12 19:06:18.926030,23610,MARJANE HOLDING,MA,Kenitra,14000,BANQUE POPULAIRE,MA,Casablanca,20200,894,0,0,0,0,0,0,0,DISTRIBUTION,0
TXN_000017,2025-06-25 19:06:18.926030,264496,MANATEX,MA,Kenitra,14000,BMCI,MA,Marrakech,40200,731,0,0,0,0,0,0,0,TEXTILE,0
TXN_000018,2024-07-16 19:06:18.926030,3072063,SAFIEC,MA,Fès,30000,BANQUE POPULAIRE,MA,Oujda,60000,513,0,0,0,0,0,0,0,INDUSTRIEL,0
TXN_000019,2024-09-23 19:06:18.926030,145584,AUCHAN MAROC,MA,Rabat,10000,DELTA INDUSTRIE,MA,Meknès,50000,573,0,0,0,0,0,0,0,DISTRIBUTION,0
TXN_000020,2025-06-20 19:06:18.926030,882344,OCP SA,MA,Oujda,60000,ORANGE MAROC,MA,Fès,30000,533,0,0,0,0,0,0,0,INDUSTRIEL,0
TXN_000021,2025-01-30 19:06:18.926030,5565,METRO MAROC,MA,Meknès,50000,STAFIL,MA,Tanger,90100,388,0,0,0,0,0,0,0,DISTRIBUTION,0
TXN_000022,2024-02-14 19:06:18.926030,62068,CARREFOUR MAROC,MA,Oujda,60000,BANQUE POPULAIRE,MA,Tétouan,93000,222,0,0,0,0,0,0,0,DISTRIBUTION,0
TXN_000023,2024-01-16 19:06:18.926030,1658812,SONASID,MA,Oujda,60000,Frankfurt_TRADING_ES,ES,Frankfurt,62923,2964,1,0,0,0,0,0,0,INDUSTRIEL,0
TXN_000024,2024-01-31 19:06:18.926030,3616713,SONASID,MA,Fès,30200,CREDIT AGRICOLE MAROC,MA,Tétouan,93100,781,0,0,0,0,0,0,0,INDUSTRIEL,0
TXN_000025,2024-10-19 19:06:18.926030,42321,REDAL,MA,Fès,30100,CREDIT DU MAROC,MA,Rabat,10000,228,0,0,0,0,0,0,0,SERVICES,0
TXN_000026,2024-03-04 19:06:18.926030,192981,COTEF MAROC,MA,Fès,30200,BANK AL MAGHRIB,MA,Fès,30100,122,0,0,0,0,0,0,0,TEXTILE,0
TXN_000027,2024-02-27 19:06:18.926030,968946,COSUMAR,MA,Tanger,90200,CREDIT DU MAROC,MA,Marrakech,40100,400,0,0,0,0,0,0,0,INDUSTRIEL,0
TXN_000028,2024-02-17 19:06:18.926030,120430,DELTA INDUSTRIE,MA,Marrakech,40100,MANATEX,MA,Fès,30200,174,0,0,0,0,0,0,0,TEXTILE,0
TXN_000029,2025-07-15 19:06:18.926030,205779,BARID AL MAGHRIB,MA,Rabat,10200,SUSPECT COMPANY,KP,Beirut,93507,3647,1,0,1,1,1,0,0,SERVICES,1
TXN_000030,2024-06-25 19:06:18.926030,1350357,SONASID,MA,Kenitra,14000,METRO MAROC,MA,Agadir,80200,342,0,0,0,0,0,0,0,INDUSTRIEL,0
TXN_000031,2025-07-25 19:06:18.926030,1862249,LESIEUR CRISTAL,MA,Tanger,90100,SOCIETE GENERALE MAROC,MA,Rabat,10100,370,0,0,0,0,0,0,0,INDUSTRIEL,0
TXN_000032,2025-03-23 19:06:18.926030,2886573,LAFARGE MAROC,MA,Marrakech,40100,BANK AL MAGHRIB,MA,Meknès,50000,589,0,0,0,0,0,0,0,INDUSTRIEL,0
TXN_000033,2025-05-18 19:06:18.926030,29158,REDAL,MA,Meknès,50000,BMCI,MA,Oujda,60100,167,0,0,0,0,0,0,0,SERVICES,0
TXN_000034,2025-08-12 19:06:18.926030,46396,SOMITEX,MA,Fès,30100,LYDEC,MA,Tanger,90100,117,0,0,0,0,0,0,0,TEXTILE,0
TXN_000035,2025-05-10 19:06:18.926030,66834,TEXMAROC,MA,Tanger,90000,STAFIL,MA,Agadir,80200,265,0,0,0,0,0,0,0,TEXTILE,0
TXN_000036,2024-03-31 19:06:18.926030,16635,CARREFOUR MAROC,MA,Rabat,10100,STAFIL,MA,Casablanca,20200,127,0,0,0,0,0,0,0,DISTRIBUTION,0
TXN_000037,2023-10-26 19:06:18.926030,75339,MANATEX,MA,Agadir,80200,STAFIL,MA,Tanger,90200,193,0,0,0,0,0,0,0,TEXTILE,0
TXN_000038,2024-07-20 19:06:18.926030,115217,AUCHAN MAROC,MA,Tanger,90200,SOMITEX,MA,Meknès,50000,350,0,0,0,0,0,0,0,DISTRIBUTION,0
TXN_000039,2025-09-05 19:06:18.926030,157039,METRO MAROC,MA,Tanger,90100,INWI,MA,Agadir,80100,282,0,0,0,0,0,0,0,DISTRIBUTION,0
