transaction_id,timestamp,intrbk_sttlm_amt,debtor_name,debtor_country,debtor_city,debtor_postcode,creditor_name,creditor_country,creditor_city,creditor_postcode,distance_km,is_international,debtor_blacklisted,creditor_blacklisted,extreme_amount,amount_high,postal_incoherence,sector,is_fraud
TXN_006252,2024-10-04 15:20:26.241312,7122509,OCP SA,MA,Meknès,50100,SOMITEX,MA,Tanger,90000,336,0,0,0,0,1,0,INDUSTRIEL,0
TXN_004684,2023-09-07 15:20:26.227612,500000,AUCHAN MAROC,MA,Oujda,60100,Milan_TRADING_ES,ES,Milan,26868,9492,1,0,0,0,0,0,DISTRIBUTION,0
TXN_001731,2023-09-19 15:20:26.203682,200000,INWI,MA,Agadir,80000,Milan_TRADING_IT,IT,Milan,95075,9505,1,0,0,0,0,0,SERVICES,0
TXN_004742,2024-08-03 15:20:26.228612,1000000,DELTA INDUSTRIE,MA,Agadir,80000,CREDIT AGRICOLE MAROC,MA,Meknès,50100,146,0,0,0,0,0,0,TEXTILE,0
TXN_004521,2024-10-30 15:20:26.226612,1000000,STAFIL,MA,Tanger,90200,Paris_TRADING_GB,GB,Paris,58029,2717,1,0,0,0,0,0,TEXTILE,0
TXN_006340,2024-05-31 15:20:26.242408,7322921,MANAGEM,MA,Oujda,60100,BMCI,MA,Agadir,80200,363,0,0,0,0,1,0,INDUSTRIEL,0
TXN_000576,2024-02-03 15:20:26.192986,500000,CARREFOUR MAROC,MA,Marrakech,40100,AUCHAN MAROC,MA,Tanger,90000,282,0,0,0,0,0,0,DISTRIBUTION,0
TXN_005202,2024-02-04 15:20:26.232624,500000,ACIMA,MA,Oujda,60000,SOCIETE GENERALE MAROC,MA,Marrakech,40100,643,0,0,0,0,0,0,DISTRIBUTION,0
TXN_006363,2025-04-25 15:20:26.242408,7332243,OCP SA,MA,Meknès,50000,ORANGE MAROC,MA,Casablanca,20200,678,0,0,0,0,1,0,INDUSTRIEL,0
TXN_000439,2024-11-04 15:20:26.191887,2094625,CIMAR,MA,Fès,30100,BANK AL MAGHRIB,MA,Meknès,50100,380,0,0,0,0,0,0,INDUSTRIEL,0
TXN_002750,2023-11-17 15:20:26.212371,4140163,COSUMAR,MA,Kenitra,14100,BANQUE POPULAIRE,MA,Oujda,60100,292,0,0,0,0,0,0,INDUSTRIEL,0
TXN_007487,2024-09-24 15:20:26.252145,500000,MARJANE HOLDING,MA,Agadir,80000,New_TRADING_ES,ES,New York,47719,7439,1,0,0,0,0,0,DISTRIBUTION,0
TXN_005272,2025-04-14 15:20:26.232624,7032506,COSUMAR,MA,Rabat,10000,SOCIETE GENERALE MAROC,MA,Tétouan,93100,830,0,0,0,0,1,0,INDUSTRIEL,0
