transaction_id,timestamp,intrbk_sttlm_amt,debtor_name,debtor_country,debtor_city,debtor_postcode,creditor_name,creditor_country,creditor_city,creditor_postcode,distance_km,is_international,debtor_blacklisted,creditor_blacklisted,extreme_amount,amount_high,amount_low,postal_incoherence,sector,is_fraud
TXN_006252,2024-06-23 19:06:19.403523,295569,STAFIL,MA,Oujda,60100,BANK AL MAGHRIB,MA,Tétouan,93100,364,0,0,0,0,0,0,0,TEXTILE,0
TXN_004684,2024-04-28 19:06:19.374978,2268790,SAFIEC,MA,Tanger,90100,STAFIL,MA,Marrakech,40100,394,0,0,0,0,0,0,0,INDUSTRIEL,0
TXN_001731,2024-02-05 19:06:19.338933,10725,METRO MAROC,MA,Tétouan,93100,ACIMA,MA,Fès,30000,639,0,0,0,0,0,0,0,DISTRIBUTION,0
TXN_004742,2025-06-04 19:06:19.375978,4468392,CIMAR,MA,Meknès,50000,REDAL,MA,Rabat,10000,681,0,0,0,0,0,0,0,INDUSTRIEL,0
TXN_004521,2025-02-14 19:06:19.372978,115221,DELTA INDUSTRIE,MA,Casablanca,20000,COSUMAR,MA,Agadir,80000,593,0,0,0,0,0,0,0,TEXTILE,0
TXN_006340,2023-09-15 19:06:19.404523,92967,METRO MAROC,MA,Tétouan,93000,ARAB BANK MAROC,MA,Rabat,10000,832,0,0,0,0,0,0,0,DISTRIBUTION,0
TXN_000576,2024-04-03 19:06:19.312380,7071,ORANGE MAROC,MA,Kenitra,14100,LESIEUR CRISTAL,MA,Kenitra,14000,131,0,0,0,0,0,0,0,SERVICES,0
TXN_005202,2024-12-22 19:06:19.383489,2279800,SONASID,MA,Tanger,90100,BMCE BANK,MA,Rabat,10000,442,0,0,0,0,0,0,0,INDUSTRIEL,0
TXN_006363,2023-12-20 19:06:19.404523,3149141,LESIEUR CRISTAL,MA,Fès,30100,ATTIJARIWAFA BANK,MA,Fès,30000,178,0,0,0,0,0,0,0,INDUSTRIEL,0
TXN_000439,2025-07-14 19:06:19.310378,1033219,MAROC TELECOM,MA,Meknès,50000,TURKISH TEXTILE,TR,Panama City,36358,8096,1,0,1,1,1,0,1,SERVICES,1
TXN_002750,2024-01-25 19:06:19.351951,218782,MANATEX,MA,Casablanca,20000,ATTIJARIWAFA BANK,MA,Tétouan,93000,1062,0,0,0,0,0,0,0,TEXTILE,0
TXN_007487,2024-04-19 19:06:19.419901,219799,MANATEX,MA,Marrakech,40100,COTEF MAROC,MA,Meknès,50000,442,0,0,0,0,0,0,0,TEXTILE,0
TXN_005272,2024-12-23 19:06:19.384489,28246,LYDEC,MA,Marrakech,40000,London_TRADING_NL,NL,London,95187,5294,1,0,0,0,0,0,0,SERVICES,0
TXN_005653,2025-08-21 19:06:19.393006,1351407,SAFIEC,MA,Marrakech,40100,Madrid_TRADING_US,US,Madrid,83741,7240,1,0,0,0,0,0,0,INDUSTRIEL,0
TXN_003999,2024-11-15 19:06:19.366974,32931,MARJANE HOLDING,MA,Kenitra,14100,BANQUE POPULAIRE,MA,Agadir,80100,482,0,0,0,0,0,0,0,DISTRIBUTION,0
TXN_006033,2024-09-01 19:06:19.400523,54254,REDAL,MA,Agadir,80200,New_TRADING_GB,GB,New York,54252,8384,1,0,0,0,0,0,0,SERVICES,0
TXN_000582,2024-09-21 19:06:19.312380,60893,LYDEC,MA,Casablanca,20000,CIH BANK,MA,Agadir,80200,680,0,0,0,0,0,0,0,SERVICES,0
TXN_001930,2025-01-01 03:06:19.509815,1084783,MANATEX,MA,Marrakech,40000,BEIJING TRADING,CN,Panama City,75444,4878,1,0,1,1,1,0,1,TEXTILE,1
TXN_007051,2023-10-02 19:06:19.414387,50066,ONEE,MA,Kenitra,14000,CREDIT DU MAROC,MA,Fès,30200,644,0,0,0,0,0,0,0,SERVICES,0
TXN_000158,2024-08-29 19:06:19.480578,3,AUCHAN MAROC,MA,Agadir,80100,SUSPECT COMPANY,KP,Panama City,86357,3189,1,0,1,1,0,1,1,DISTRIBUTION,1
TXN_001896,2024-07-26 19:06:19.509815,189273230,LESIEUR CRISTAL,MA,Tanger,90100,INDIAN SOFTWARE,IN,Lagos,24359,6267,1,0,1,1,1,0,0,INDUSTRIEL,1
TXN_002249,2025-08-11 19:06:19.344932,6619,BARID AL MAGHRIB,MA,Agadir,80200,BMCI,MA,Rabat,10200,494,0,0,0,0,0,0,0,SERVICES,0
TXN_004640,2024-06-19 19:06:19.374978,60668,BARID AL MAGHRIB,MA,Agadir,80000,BANQUE POPULAIRE,MA,Meknès,50100,294,0,0,0,0,0,0,0,SERVICES,0
TXN_001485,2024-09-15 19:06:19.501243,28977,SONASID,MA,Oujda,60100,SUSPECT COMPANY,YE,Karachi,90535,7987,1,0,1,1,0,1,1,INDUSTRIEL,1
TXN_004947,2025-01-14 19:06:19.378489,20549,REDAL,MA,Casablanca,20000,AUCHAN MAROC,MA,Fès,30100,453,0,0,0,0,0,0,0,SERVICES,0
TXN_001920,2023-12-10 02:06:19.509815,205893,ONEE,MA,Agadir,80000,MEDELLIN EXPORTS,CO,Lima,70820,2036,1,0,1,1,1,0,0,SERVICES,1
TXN_001963,2025-03-19 19:06:19.341932,73001,TEXMAROC,MA,Kenitra,14000,Amsterdam_TRADING_FR,FR,Amsterdam,19513,8572,1,0,0,0,0,0,0,TEXTILE,0
TXN_000243,2024-02-22 19:06:19.481596,285897,LYDEC,MA,Agadir,80100,SUSPECT COMPANY,YE,Lagos,23899,5554,1,0,1,1,1,0,0,SERVICES,1
TXN_006590,2025-08-18 19:06:19.408031,62628,REDAL,MA,Meknès,50100,ATTIJARIWAFA BANK,MA,Casablanca,20200,713,0,0,0,0,0,0,0,SERVICES,0
TXN_000847,2025-02-05 19:06:19.490359,4529039,CARREFOUR MAROC,MA,Agadir,80000,BLACK SEA TRADING,UA,Dubai,68872,4291,1,0,1,1,1,0,1,DISTRIBUTION,1
TXN_000321,2024-05-19 19:06:19.309379,79208,STAFIL,MA,Meknès,50000,STAFIL,MA,Meknès,50000,27,0,0,0,0,0,0,0,TEXTILE,0
TXN_002678,2024-01-11 19:06:19.350951,554011,LAFARGE MAROC,MA,Casablanca,20400,Paris_TRADING_IT,IT,Paris,88348,4394,1,0,0,0,0,0,0,INDUSTRIEL,0
TXN_004625,2024-06-10 19:06:19.373978,175150,COTEF MAROC,MA,Meknès,50100,SONASID,MA,Tanger,90100,266,0,0,0,0,0,0,0,TEXTILE,0
TXN_004949,2025-08-20 19:06:19.378489,3391311,LAFARGE MAROC,MA,Casablanca,20200,LESIEUR CRISTAL,MA,Casablanca,20400,64,0,0,0,0,0,0,0,INDUSTRIEL,0
