transaction_id,timestamp,intrbk_sttlm_amt,debtor_name,debtor_country,debtor_city,debtor_postcode,creditor_name,creditor_country,creditor_city,creditor_postcode,distance_km,is_international,debtor_blacklisted,creditor_blacklisted,extreme_amount,amount_high,postal_incoherence,is_fraud
TXN_000000,2023-11-21 14:01:05.659833,562,COTEF MAROC,MA,Rabat,10000,SONATRACH MAROC,MA,Rabat,10200,437,0,0,0,0,0,0,0
TXN_000001,2025-08-04 14:01:05.659833,4809,AUCHAN MAROC,MA,Casablanca,20000,BMCI,MA,Casablanca,20200,464,0,0,0,0,0,0,0
TXN_000002,2024-01-11 14:01:05.659833,4530,ACIMA,MA,Tanger,90000,MARJANE HOLDING,MA,Tanger,90000,109,0,0,0,0,0,0,0
TXN_000003,2025-06-03 14:01:05.659833,13572,SOMITEX,MA,Meknès,50000,LAFARGE MAROC,MA,Casablanca,20400,85,0,0,0,0,0,0,0
TXN_000004,2024-02-18 14:01:05.659833,1247,DELTA INDUSTRIE,MA,Tanger,90200,COMPANY_4733_FR,FR,Paris,96673,5741,1,0,0,0,0,0,0
TXN_000005,2025-06-16 14:01:05.659833,1355,ONEE,MA,Fès,30000,COTEF MAROC,MA,Agadir,80000,219,0,0,0,0,0,0,0
TXN_000006,2023-10-20 14:01:05.659833,59,LAFARGE MAROC,MA,Tanger,90200,ONEE,MA,Fès,30000,281,0,0,0,0,0,0,0
TXN_000007,2023-11-20 14:01:05.659833,12401,TEXMAROC,MA,Kenitra,14000,ARAB BANK MAROC,MA,Casablanca,20300,72,0,0,0,0,0,0,0
TXN_000008,2025-02-01 14:01:05.659833,1568,ACIMA,MA,Tétouan,93100,SOCIETE GENERALE MAROC,MA,Oujda,60000,257,0,0,0,0,0,0,0
TXN_000009,2024-02-09 14:01:05.659833,978,INWI,MA,Kenitra,14100,BMCE BANK,MA,Fès,30000,778,0,0,0,0,0,0,0
TXN_000010,2025-07-19 14:01:05.659833,1159,ACIMA,MA,Rabat,10000,INWI,MA,Rabat,10100,546,0,0,0,0,0,0,0
TXN_000011,2024-12-22 14:01:05.659833,7306,SONATRACH MAROC,MA,Kenitra,14000,STAFIL,MA,Agadir,80000,166,0,0,0,0,0,0,0
TXN_000012,2024-05-29 14:01:05.659833,3580,LABEL VIE,MA,Casablanca,20300,SOCIETE GENERALE MAROC,MA,Tanger,90200,387,0,0,0,0,0,0,0
TXN_000013,2025-03-24 14:01:05.659833,1375,STAFIL,MA,Kenitra,14000,COMPANY_1949_US,US,New York,41385,4946,1,0,0,0,0,0,0
TXN_000014,2024-02-03 14:01:05.659833,1211,BARID AL MAGHRIB,MA,Rabat,10000,COMPANY_8787_GB,GB,Madrid,26828,3705,1,0,0,0,0,0,0
TXN_000015,2024-12-08 14:01:05.659833,12346,LABEL VIE,MA,Kenitra,14100,SOMITEX,MA,Fès,30200,692,0,0,0,0,0,0,0
TXN_000016,2023-11-10 14:01:05.659833,643,LYDEC,MA,Agadir,80100,SONATRACH MAROC,MA,Rabat,10100,572,0,0,0,0,0,0,0
TXN_000017,2025-01-13 14:01:05.659833,2338,SONASID,MA,Tétouan,93000,BANQUE POPULAIRE,MA,Casablanca,20200,343,0,0,0,0,0,0,0
TXN_000018,2025-06-25 14:01:05.659833,2112,MANATEX,MA,Kenitra,14000,BMCI,MA,Kenitra,14000,489,0,0,0,0,0,0,0
TXN_000019,2024-07-16 14:01:05.659833,5345,SAFIEC,MA,Fès,30000,CREDIT DU MAROC,MA,Meknès,50100,67,0,0,0,0,0,0,0
TXN_000020,2024-07-20 14:01:05.659833,192426,AUCHAN MAROC,MA,Agadir,80000,COMPANY_4006_DE,DE,Madrid,65296,5563,1,0,0,0,1,0,0
TXN_000021,2024-05-20 14:01:05.659833,17862,BARID AL MAGHRIB,MA,Fès,30000,MANAGEM,MA,Kenitra,14000,20,0,0,0,0,0,0,0
TXN_000022,2025-06-02 14:01:05.659833,4137,MAROC TELECOM,MA,Fès,30000,CARREFOUR MAROC,MA,Meknès,50000,7,0,0,0,0,0,0,0
TXN_000023,2024-08-02 14:01:05.659833,11188,STAFIL,MA,Tanger,90100,CREDIT AGRICOLE MAROC,MA,Kenitra,14100,308,0,0,0,0,0,0,0
TXN_000024,2025-01-26 14:01:05.659833,656,TEXMAROC,MA,Casablanca,20000,COMPANY_3579_DE,DE,London,79615,1931,1,0,0,0,0,0,0
TXN_000025,2024-04-03 14:01:05.659833,277,SONASID,MA,Rabat,10000,SONATRACH MAROC,MA,Fès,30100,257,0,0,0,0,0,0,0
TXN_000026,2024-01-22 14:01:05.659833,395,SAFIEC,MA,Tétouan,93000,CREDIT AGRICOLE MAROC,MA,Tétouan,93100,690,0,0,0,0,0,0,0
TXN_000027,2024-10-19 14:01:05.659833,795,REDAL,MA,Fès,30100,BMCE BANK,MA,Tanger,90100,14,0,0,0,0,0,0,0
TXN_000028,2024-05-24 14:01:05.659833,7137,SONATRACH MAROC,MA,Tétouan,93000,BMCE BANK,MA,Tanger,90000,255,0,0,0,0,0,0,0
TXN_000029,2024-08-23 14:01:05.659833,11289,BARID AL MAGHRIB,MA,Tanger,90000,MANAGEM,MA,Tanger,90200,311,0,0,0,0,0,0,0
TXN_000030,2023-10-27 14:01:05.659833,2184,TEXMAROC,MA,Rabat,10000,CIH BANK,MA,Kenitra,14000,624,0,0,0,0,0,0,0
TXN_000031,2025-02-02 14:01:05.659833,1170,DELTA INDUSTRIE,MA,Agadir,80000,ARAB BANK MAROC,MA,Casablanca,20000,50,0,0,0,0,0,0,0
TXN_000032,2025-09-02 14:01:05.659833,310,COTEF MAROC,MA,Agadir,80000,CREDIT DU MAROC,MA,Kenitra,14100,82,0,0,0,0,0,0,0
TXN_000033,2023-09-29 14:01:05.659833,15513,LESIEUR CRISTAL,MA,Marrakech,40200,BANQUE POPULAIRE,MA,Marrakech,40100,320,0,0,0,0,0,0,0
TXN_000034,2024-08-28 14:01:05.659833,17493,ACIMA,MA,Casablanca,20300,SOCIETE GENERALE MAROC,MA,Rabat,10100,247,0,0,0,0,0,0,0
TXN_000035,2025-03-23 14:01:05.659833,774,LAFARGE MAROC,MA,Marrakech,40100,ARAB BANK MAROC,MA,Agadir,80100,168,0,0,0,0,0,0,0
TXN_000036,2023-09-18 14:01:05.659833,628,MANAGEM,MA,Rabat,10100,BMCI,MA,Oujda,60100,233,0,0,0,0,0,0,0
TXN_000037,2025-08-12 14:01:05.659833,2660,SOMITEX,MA,Fès,30100,LYDEC,MA,Tanger,90100,33,0,0,0,0,0,0,0
TXN_000038,2025-05-10 14:01:05.659833,28089,TEXMAROC,MA,Tanger,90000,COMPANY_8149_DE,DE,New York,51114,9379,1,0,0,0,0,0,0
TXN_000039,2025-05-10 14:01:05.659833,4950,TEXMAROC,MA,Meknès,50000,STAFIL,MA,Casablanca,20200,76,0,0,0,0,0,0,0
TXN_000040,2023-10-26 14:01:05.659833,1639,MANATEX,MA,Agadir,80200,STAFIL,MA,Tanger,90200,339,0,0,0,0,0,0,0
TXN_000041,2024-07-20 14:01:05.659833,2720,AUCHAN MAROC,MA,Tanger,90200,SOMITEX,MA,Meknès,50000,566,0,0,0,0,0,0,0
TXN_000042,2025-09-05 14:01:05.659833,354,METRO MAROC,MA,Tanger,90100,INWI,MA,Tétouan,93100,457,0,0,0,0,0,0,0
TXN_000043,2023-10-15 14:01:05.659833,14238,BARID AL MAGHRIB,MA,Fès,30200,CIH BANK,MA,Marrakech,40200,532,0,0,0,0,0,0,0
TXN_000044,2023-10-27 14:01:05.659833,1337,CIMAR,MA,Tétouan,93100,ATTIJARIWAFA BANK,MA,Fès,30000,52,0,0,0,0,0,0,0
TXN_000045,2024-12-29 14:01:05.659833,316,MAROC TELECOM,MA,Oujda,60000,ORANGE MAROC,MA,Tétouan,93000,414,0,0,0,0,0,0,0
TXN_000046,2024-12-30 14:01:05.659833,2168,SONASID,MA,Marrakech,40200,BANQUE POPULAIRE,MA,Fès,30000,575,0,0,0,0,0,0,0
TXN_000047,2024-12-24 14:01:05.659833,1571,METRO MAROC,MA,Rabat,10100,BARID AL MAGHRIB,MA,Kenitra,14100,441,0,0,0,0,0,0,0
TXN_000048,2024-02-22 14:01:05.659833,6324,MAROC TELECOM,MA,Oujda,60000,MANATEX,MA,Fès,30200,646,0,0,0,0,0,0,0
TXN_000049,2025-01-04 14:01:05.659833,16937,COSUMAR,MA,Tanger,90100,SOCIETE GENERALE MAROC,MA,Agadir,80100,159,0,0,0,0,0,0,0
TXN_000050,2025-01-12 14:01:05.659833,23336,MARJANE HOLDING,MA,Meknès,50000,MAROC TELECOM,MA,Agadir,80200,68,0,0,0,0,0,0,0
TXN_000051,2025-02-06 14:01:05.659833,3878,SAFIEC,MA,Meknès,50100,MAROC TELECOM,MA,Agadir,80100,556,0,0,0,0,0,0,0
TXN_000052,2024-02-24 14:01:05.659833,2028,REDAL,MA,Tétouan,93000,LYDEC,MA,Oujda,60000,689,0,0,0,0,0,0,0
TXN_000053,2023-10-11 14:01:05.659833,1716,REDAL,MA,Meknès,50000,ATTIJARIWAFA BANK,MA,Kenitra,14000,90,0,0,0,0,0,0,0
TXN_000054,2023-11-17 14:01:05.659833,55,REDAL,MA,Meknès,50000,COMPANY_8449_DE,DE,New York,37742,6355,1,0,0,0,0,0,0
TXN_000055,2024-09-25 14:01:05.659833,5005,ONEE,MA,Meknès,50100,SONASID,MA,Oujda,60000,234,0,0,0,0,0,0,0
TXN_000056,2023-11-10 14:01:05.659833,5880,OCP SA,MA,Rabat,10200,BMCI,MA,Fès,30000,134,0,0,0,0,0,0,0
TXN_000057,2024-05-09 14:01:05.659833,2323,METRO MAROC,MA,Rabat,10200,BANK AL MAGHRIB,MA,Agadir,80000,323,0,0,0,0,0,0,0
TXN_000058,2025-05-18 14:01:05.659833,724,DELTA INDUSTRIE,MA,Tétouan,93000,BMCE BANK,MA,Meknès,50100,611,0,0,0,0,0,0,0
TXN_000059,2023-09-29 14:01:05.659833,24487,MANATEX,MA,Fès,30000,SONASID,MA,Rabat,10200,550,0,0,0,0,0,0,0
TXN_000060,2024-06-24 14:01:05.659833,2899,TEXMAROC,MA,Agadir,80000,REDAL,MA,Oujda,60000,655,0,0,0,0,0,0,0
TXN_000061,2024-05-23 14:01:05.659833,242,ACIMA,MA,Marrakech,40100,INWI,MA,Tanger,90200,451,0,0,0,0,0,0,0
TXN_000062,2024-01-08 14:01:05.659833,3475,MARJANE HOLDING,MA,Tanger,90100,ONEE,MA,Oujda,60000,349,0,0,0,0,0,0,0
TXN_000063,2025-08-07 14:01:05.659833,1557,METRO MAROC,MA,Oujda,60100,ARAB BANK MAROC,MA,Tanger,90100,574,0,0,0,0,0,0,0
TXN_000064,2025-08-26 14:01:05.659833,6103,CIMAR,MA,Kenitra,14000,ORANGE MAROC,MA,Oujda,60000,463,0,0,0,0,0,0,0
TXN_000065,2025-08-19 14:01:05.659833,2021,METRO MAROC,MA,Rabat,10100,MANATEX,MA,Tanger,90200,571,0,0,0,0,0,0,0
TXN_000066,2024-03-11 14:01:05.659833,4962,SOMITEX,MA,Agadir,80100,BMCI,MA,Tanger,90100,128,0,0,0,0,0,0,0
TXN_000067,2025-02-20 14:01:05.659833,2948,AUCHAN MAROC,MA,Agadir,80000,CREDIT DU MAROC,MA,Oujda,60100,203,0,0,0,0,0,0,0
TXN_000068,2024-11-06 14:01:05.659833,931,CARREFOUR MAROC,MA,Fès,30100,COMPANY_1745_GB,GB,Madrid,45954,1893,1,0,0,0,0,0,0
TXN_000069,2024-02-17 14:01:05.659833,9506,ACIMA,MA,Tanger,90200,SONATRACH MAROC,MA,Oujda,60000,296,0,0,0,0,0,0,0
TXN_000070,2024-05-13 14:01:05.659833,24533,COTEF MAROC,MA,Oujda,60100,BMCE BANK,MA,Tanger,90100,415,0,0,0,0,0,0,0
TXN_000071,2024-04-20 14:01:05.659833,24064,LAFARGE MAROC,MA,Rabat,10200,COMPANY_5066_GB,GB,New York,21164,2940,1,0,0,0,0,0,0
TXN_000072,2024-02-12 14:01:05.659833,1422,MAROC TELECOM,MA,Meknès,50000,CIH BANK,MA,Tanger,90200,587,0,0,0,0,0,0,0
TXN_000073,2023-12-10 14:01:05.659833,11905,ACIMA,MA,Casablanca,20000,BANK AL MAGHRIB,MA,Rabat,10000,570,0,0,0,0,0,0,0
TXN_000074,2025-06-21 14:01:05.659833,38557,MAROC TELECOM,MA,Marrakech,40000,BMCI,MA,Oujda,60100,300,0,0,0,0,0,0,0
TXN_000075,2023-09-13 14:01:05.659833,11052,LYDEC,MA,Tanger,90200,METRO MAROC,MA,Tanger,90200,122,0,0,0,0,0,0,0
TXN_000076,2024-02-26 14:01:05.659833,7892,CARREFOUR MAROC,MA,Fès,30200,CIH BANK,MA,Rabat,10000,614,0,0,0,0,0,0,0
TXN_000077,2024-02-01 14:01:05.659833,476,MANAGEM,MA,Tanger,90100,INWI,MA,Meknès,50100,87,0,0,0,0,0,0,0
TXN_000078,2024-01-02 14:01:05.659833,7561,DELTA INDUSTRIE,MA,Casablanca,20400,ARAB BANK MAROC,MA,Rabat,10000,595,0,0,0,0,0,0,0
TXN_000079,2025-07-26 14:01:05.659833,2341,ONEE,MA,Marrakech,40100,COMPANY_9056_GB,GB,Frankfurt,93202,2494,1,0,0,0,0,0,0
TXN_000080,2024-05-12 14:01:05.659833,1745,SOMITEX,MA,Agadir,80100,ORANGE MAROC,MA,Marrakech,40100,300,0,0,0,0,0,0,0
TXN_000081,2023-10-28 14:01:05.659833,6864,LYDEC,MA,Meknès,50000,BARID AL MAGHRIB,MA,Agadir,80000,6,0,0,0,0,0,0,0
TXN_000082,2023-11-02 14:01:05.659833,23059,LYDEC,MA,Kenitra,14100,COMPANY_8242_US,US,London,75338,1845,1,0,0,0,0,0,0
TXN_000083,2025-02-09 14:01:05.659833,134422,CARREFOUR MAROC,MA,Tanger,90200,BMCI,MA,Oujda,60000,731,0,0,0,0,1,0,0
TXN_000084,2025-03-27 14:01:05.659833,343,SONATRACH MAROC,MA,Tanger,90200,CREDIT DU MAROC,MA,Fès,30000,668,0,0,0,0,0,0,0
TXN_000085,2025-04-01 14:01:05.659833,17784,STAFIL,MA,Oujda,60100,SOCIETE GENERALE MAROC,MA,Oujda,60000,397,0,0,0,0,0,0,0
TXN_000086,2025-02-22 14:01:05.659833,7528,COSUMAR,MA,Tétouan,93000,ATTIJARIWAFA BANK,MA,Meknès,50100,294,0,0,0,0,0,0,0
TXN_000087,2024-11-04 14:01:05.659833,18501,METRO MAROC,MA,Tétouan,93100,INWI,MA,Agadir,80100,334,0,0,0,0,0,0,0
TXN_000088,2025-02-24 14:01:05.659833,4185,REDAL,MA,Fès,30200,MANATEX,MA,Meknès,50000,727,0,0,0,0,0,0,0
TXN_000089,2024-08-11 14:01:05.659833,85,LAFARGE MAROC,MA,Marrakech,40100,COMPANY_2633_FR,FR,Paris,67711,9617,1,0,0,0,0,0,1
TXN_000090,2025-08-21 14:01:05.659833,10626,MARJANE HOLDING,MA,Marrakech,40100,BMCE BANK,MA,Tanger,90100,341,0,0,0,0,0,0,0
TXN_000091,2023-10-16 14:01:05.659833,48955,MANATEX,MA,Kenitra,14100,BMCI,MA,Oujda,60000,651,0,0,0,0,0,0,0
TXN_000092,2023-10-06 14:01:05.659833,6067,SAFIEC,MA,Tanger,90000,CIH BANK,MA,Rabat,10100,34,0,0,0,0,0,0,0
TXN_000093,2025-07-20 14:01:05.659833,690,SOMITEX,MA,Agadir,80000,BANK AL MAGHRIB,MA,Marrakech,40000,179,0,0,0,0,0,0,0
TXN_000094,2025-03-10 14:01:05.659833,9707,INWI,MA,Rabat,10200,LABEL VIE,MA,Oujda,60000,658,0,0,0,0,0,0,0
